Frequency (Hz)	Level (dB)
808.168030	-80.778786
808.840942	-80.762703
809.513855	-80.744514
810.186768	-80.725822
810.859680	-80.708054
811.532593	-80.684784
812.205505	-80.663727
812.878418	-80.648842
813.551331	-80.633919
814.224243	-80.613808
814.897156	-80.596207
815.570068	-80.578766
816.242981	-80.561249
816.915894	-80.543816
817.588806	-80.525429
818.261719	-80.508133
818.934631	-80.491814
819.607544	-80.476982
820.280457	-80.459557
820.953369	-80.439148
821.626282	-80.420654
822.299194	-80.407707
822.972107	-80.391861
823.645020	-80.372223
824.317932	-80.355736
824.990845	-80.337036
825.663757	-80.321182
826.336670	-80.304443
827.009583	-80.287117
827.682495	-80.272552
828.355408	-80.258446
829.028320	-80.241493
829.701233	-80.223312
830.374146	-80.210548
831.047058	-80.196899
831.719971	-80.178375
832.392883	-80.160858
833.065796	-80.146393
833.738708	-80.130890
834.411621	-80.116898
835.084534	-80.102028
835.757446	-80.085876
836.430359	-80.071991
837.103271	-80.055817
837.776184	-80.040527
838.449097	-80.026199
839.122009	-80.008606
839.794922	-79.996178
840.467834	-79.986320
841.140747	-79.970825
841.813660	-79.954338
842.486572	-79.940536
843.159485	-79.924950
843.832397	-79.910133
844.505310	-79.896126
845.178223	-79.882866
845.851135	-79.871277
846.524048	-79.856789
847.196960	-79.841583
847.869873	-79.828674
848.542786	-79.818161
849.215698	-79.802284
849.888611	-79.786942
850.561523	-79.776398
851.234436	-79.766144
851.907349	-79.751450
